,game_num,turn_num,player_turn,board_state,optimal_move,result
75,1,17,2,"[[1, 2, 0, 2, 2, 0, 1], [2, 1, 0, 1, 1, 0, 2], [1, 1, 0, 2, 2, 0, 1], [2, 2, 0, 1, 1, 0, 2], [2, 1, 1, 2, 2, 0, 1], [1, 2, 1, 2, 1, 1, 2]]",2,1
76,1,18,1,"[[1, 2, 0, 2, 2, 0, 1], [2, 1, 0, 1, 1, 0, 2], [1, 1, 0, 2, 2, 0, 1], [2, 2, 2, 1, 1, 0, 2], [2, 1, 1, 2, 2, 0, 1], [1, 2, 1, 2, 1, 1, 2]]",5,1
77,1,18,2,"[[1, 2, 0, 2, 2, 0, 1], [2, 1, 0, 1, 1, 0, 2], [1, 1, 0, 2, 2, 0, 1], [2, 2, 2, 1, 1, 0, 2], [2, 1, 1, 2, 2, 1, 1], [1, 2, 1, 2, 1, 1, 2]]",5,1
78,1,19,1,"[[1, 2, 0, 2, 2, 0, 1], [2, 1, 0, 1, 1, 0, 2], [1, 1, 0, 2, 2, 0, 1], [2, 2, 2, 1, 1, 2, 2], [2, 1, 1, 2, 2, 1, 1], [1, 2, 1, 2, 1, 1, 2]]",5,1
79,1,19,2,"[[1, 2, 0, 2, 2, 0, 1], [2, 1, 0, 1, 1, 0, 2], [1, 1, 0, 2, 2, 1, 1], [2, 2, 2, 1, 1, 2, 2], [2, 1, 1, 2, 2, 1, 1], [1, 2, 1, 2, 1, 1, 2]]",5,1
80,1,20,1,"[[1, 2, 0, 2, 2, 0, 1], [2, 1, 0, 1, 1, 2, 2], [1, 1, 0, 2, 2, 1, 1], [2, 2, 2, 1, 1, 2, 2], [2, 1, 1, 2, 2, 1, 1], [1, 2, 1, 2, 1, 1, 2]]",5,1
81,1,20,2,"[[1, 2, 0, 2, 2, 1, 1], [2, 1, 0, 1, 1, 2, 2], [1, 1, 0, 2, 2, 1, 1], [2, 2, 2, 1, 1, 2, 2], [2, 1, 1, 2, 2, 1, 1], [1, 2, 1, 2, 1, 1, 2]]",2,1
82,1,21,1,"[[1, 2, 0, 2, 2, 1, 1], [2, 1, 0, 1, 1, 2, 2], [1, 1, 2, 2, 2, 1, 1], [2, 2, 2, 1, 1, 2, 2], [2, 1, 1, 2, 2, 1, 1], [1, 2, 1, 2, 1, 1, 2]]",2,1
83,2,1,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]]",2,0
84,2,1,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 1, 0, 0, 0, 0]]",0,0
85,2,2,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0]]",4,0
86,2,2,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 1, 0, 0]]",5,0
87,2,3,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 1, 2, 0]]",0,0
88,2,3,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 1, 2, 0]]",0,0
89,2,4,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 1, 2, 0]]",0,0
90,2,4,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 1, 2, 0]]",2,0
91,2,5,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 1, 2, 0]]",2,0
92,2,5,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 1, 2, 0]]",2,0
93,2,6,1,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 1, 2, 0]]",6,0
94,2,6,2,"[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 1, 2, 1]]",0,0
95,2,7,1,"[[0, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 1, 2, 1]]",0,0
96,2,7,2,"[[1, 0, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 0, 0, 0], [1, 0, 2, 0, 0, 0, 0], [2, 0, 1, 0, 1, 2, 1]]",6,0
